Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
65	-143.65327	68.5947	-1.8611239	-244.89085	-148.81454	59.342964	-116.59919	-299.00067	200.0	200.0	259999	-11.613413	45.560352	5.4409	-290.75623	-11.613418	45.558475	5.844309	-289.27768	-0.27499747	0.9670038	10.805913	-8.288903	11.493559	10.327574	3091.8553659915924
66	-167.51186	84.02791	-1.8220043	-305.1831	-154.13339	75.18802	-0.830017	-256.49487	200.0	200.0	263999	-11.479995	45.232483	6.226365	-286.63846	-11.479601	45.232388	6.08528	-287.75092	-0.2705232	0.9752902	9.310219	-10.754046	11.358978	9.804496	3136.5843160152435
67	-151.94969	86.314156	-1.0586343	-334.6943	-122.5197	79.62469	-0.7738667	-270.28098	200.0	200.0	267999	-11.408816	45.287796	5.5501113	-287.3319	-11.4093	45.28902	5.7104216	-286.46442	-0.27137917	0.97705966	11.056004	-7.403167	11.308179	9.185223	3180.983662366867
68	-148.04178	74.90884	-2.595983	-305.96768	-136.67639	91.11246	-0.20862634	-296.90118	200.0	200.0	271999	-11.488304	45.349285	5.7192526	-287.9067	-11.488173	45.348606	6.2449584	-287.8776	-0.27466118	0.97772056	10.085211	-11.083501	11.372592	11.273842	3224.550466299057
69	-113.046005	82.92222	-1.4903157	-323.533	-196.04045	65.504	-120.26922	-314.25208	200.0	200.0	275999	-11.215374	45.142597	5.618288	-291.55096	-11.215514	45.142994	5.3995185	-291.2423	-0.27138615	0.9686951	10.804833	-7.111227	11.102517	10.209688	3268.661566734314
70	-132.64792	62.86411	-1.5283452	-251.80936	-120.62228	51.755917	-0.4219873	-231.0925	200.0	200.0	279999	-11.056999	44.824455	5.6418676	-292.7773	-11.05697	44.823406	6.222621	-292.17117	-0.2650821	0.97821957	9.9227495	-8.86549	10.941002	8.673461	3314.125225543976
71	-155.277	96.140236	-1.2266281	-299.789	-155.16435	75.679634	-0.7889547	-277.34485	200.0	200.0	283999	-10.893084	44.503925	5.579214	-288.92557	-10.893308	44.504353	5.7053075	-289.9908	-0.2628633	0.98359174	11.331474	-9.937373	10.7911	9.0852785	3358.523950099945
72	-118.39513	87.33546	-1.4987303	-327.8089	-119.18266	52.018715	-0.16667251	-232.33731	200.0	200.0	287999	-10.661339	44.141823	5.369495	-288.16876	-10.66159	44.1414	5.410011	-288.1843	-0.28110504	0.96196765	11.557412	-8.90184	10.5536585	10.14785	3403.0360198020935
73	-154.38533	87.909775	-2.599292	-319.4558	-120.4761	72.600716	-3.1213417	-241.04742	200.0	200.0	291999	-10.608388	44.059284	6.035373	-288.9496	-10.608586	44.059906	5.6481886	-288.44855	-0.28359044	0.95453227	9.16514	-9.64677	10.506534	8.512857	3446.878845691681
74	-174.90907	73.581184	-1.719289	-331.11877	-142.11667	86.65919	-0.8235216	-243.83342	200.0	200.0	295999	-10.756867	44.33068	5.658488	-288.9016	-10.756977	44.329933	5.6789536	-288.4957	-0.27208096	0.9715476	10.046399	-10.464596	10.6502	8.560797	3490.6295294761658
75	-153.93347	72.58787	-1.3596698	-240.19159	-164.36101	52.931557	-117.06906	-234.59554	200.0	200.0	299999	-10.795374	44.588985	6.191246	-288.35397	-10.79594	44.589653	5.4911475	-290.56702	-0.274903	0.96780586	10.549076	-9.032763	10.685234	8.4214325	3534.3763797283173
76	-137.15588	84.61969	-1.3502538	-248.65921	-141.78848	72.61615	-0.98625207	-273.12112	200.0	200.0	303999	-10.5828285	44.179226	5.8275137	-289.32846	-10.582615	44.178497	5.6257586	-289.89008	-0.2869566	0.9462788	10.171313	-8.543845	10.484251	9.199141	3580.065975666046
77	-119.63817	86.82696	-1.3093495	-333.33405	-117.03036	87.95787	-0.3332367	-236.9616	200.0	200.0	307999	-10.457643	43.962593	6.0311775	-292.46057	-10.457954	43.963043	5.8383713	-293.3259	-0.28363338	0.9463076	10.574806	-8.183937	10.374377	9.375986	3624.0043222904205
78	-171.54446	66.95315	-3.4006498	-257.13034	-120.05282	3.5710313	-114.560875	-125.86473	200.0	200.0	311999	-10.43667	43.862663	5.80486	-294.89423	-10.436767	43.862064	5.4460855	-295.37805	-0.28360194	0.9460807	9.4778	-9.804762	10.322721	8.847638	3668.1397778987885
79	-122.180214	65.17461	-1.6858699	-252.42754	-144.76929	89.84061	-0.7879978	-244.45853	200.0	200.0	315999	-10.20152	43.47484	5.513847	-292.56927	-10.201669	43.47567	5.451478	-295.213	-0.28421345	0.9525812	9.974433	-9.2192745	10.11287	8.73423	3713.6158199310303
80	-132.18002	88.46171	-1.664219	-319.29044	-126.414	88.79207	-0.7546219	-315.88446	200.0	200.0	319999	-10.301388	43.764797	6.2644424	-292.44098	-10.301438	43.76477	6.556031	-293.55566	-0.2855672	0.9718679	11.740868	-8.319317	10.196883	5.046634	3758.8077642917633
81	-159.57436	81.5953	-2.1441631	-337.2885	-141.5138	100.47479	-0.09113261	-304.625	200.0	200.0	323999	-10.129629	43.551075	5.7384777	-293.60568	-10.129643	43.550526	5.4987326	-295.8129	-0.28343952	0.9677625	10.127561	-7.950951	10.030147	8.510346	3803.444702386856
82	-127.266624	85.56913	-1.3717159	-319.5732	-142.90645	80.48196	-0.29891685	-306.35178	200.0	200.0	327999	-10.08717	43.69436	5.6428576	-292.89594	-10.087063	43.69401	5.806223	-292.01425	-0.2927787	0.9497978	9.442887	-7.9033422	9.983607	9.069823	3847.8224637508392
83	-143.63577	68.81507	-1.2384703	-244.64906	-132.62088	36.40727	-115.35656	-241.54199	200.0	200.0	331999	-9.841358	43.24112	6.0029798	-292.81848	-9.841088	43.240543	5.6685457	-293.976	-0.28705233	0.9408509	10.092461	-9.763985	9.737019	7.012784	3904.412257909775
84	-132.0116	48.592945	-1.8761591	-234.52481	-140.41626	67.91761	-0.42315346	-234.94186	200.0	200.0	335999	-9.80821	43.148636	5.5113935	-292.4951	-9.808329	43.149025	5.7794924	-292.85208	-0.29820946	0.93302983	9.965736	-7.17416	9.712277	9.456344	3970.820519924164
85	-171.15996	62.268524	-115.151596	-279.90338	-83.59344	74.90927	-0.20706151	-231.03659	200.0	200.0	339999	-9.731333	43.07426	6.2887797	-291.75314	-9.73132	43.07516	5.822384	-291.4815	-0.29773107	0.9351975	9.778564	-8.797441	9.632195	7.2618976	4028.0879757404327
