Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
67	-161.23837	90.78762	-0.91921943	-357.77133	-155.63837	115.83516	-0.49517518	-404.191	200.0	200.0	267999	-18219.729	256378.8	0.30054688	-197.33919	-18223.3	256429.06	0.2063923	-200.09865	141.47462	1990.8263	3.7912903	-6.5619626	90.4129	36.664448	2428.3644585609436
68	-210.14363	111.932495	-2.3308985	-409.80423	-164.10054	79.72737	-0.6884173	-261.97797	200.0	200.0	271999	-18859.09	265375.88	-0.396278	-200.4485	-18858.836	265372.3	-0.36812142	-199.4167	142.96086	2011.7382	3.8161318	-7.507334	93.63966	23.896915	2476.9949045181274
69	-198.33281	87.092186	-4.582423	-384.16083	-205.89847	89.76917	-123.0455	-359.0093	200.0	200.0	275999	-17679.309	248774.62	2.3916821	-200.06563	-17675.496	248720.98	1.720288	-200.23827	142.2578	2001.8445	4.2295685	-8.647698	87.582115	18.724905	2535.2720267772675
70	-133.62326	95.57198	-0.6389677	-349.4907	-156.19748	99.15142	-3.4069664	-368.48193	200.0	200.0	279999	-18702.168	263167.62	0.4448133	-202.48921	-18706.443	263227.78	0.6393954	-202.45932	151.25064	2128.3826	4.021341	-7.1164665	92.66913	16.978302	2591.0797097682953
71	-145.9948	92.04547	-0.87611604	-382.73898	-126.58424	112.65962	-0.49327493	-374.56747	200.0	200.0	283999	-17316.234	243665.81	-0.08497465	-204.66681	-17313.262	243623.98	0.09901222	-204.61414	148.70699	2092.591	4.7560983	-8.624	85.79352	13.572375	2642.3782687187195
72	-155.67247	98.81087	-0.7748436	-344.93832	-162.93076	80.49748	-0.8459479	-257.5717	200.0	200.0	287999	-19083.895	268539.12	2.1499195	-209.0547	-19081.74	268508.8	1.9296261	-206.90613	162.33156	2284.3079	4.292342	-9.137598	94.58431	39.637474	2681.770387649536
73	-156.56973	73.732735	-4.2461414	-318.8024	-218.13235	81.59481	-121.93699	-360.3085	200.0	200.0	291999	-16649.412	234283.06	0.31026798	-211.45723	-16661.988	234460.05	0.036203604	-211.53084	150.59262	2119.1267	4.0345287	-9.659589	82.71648	33.438698	2723.1043071746826
74	-176.82712	99.85295	-1.0379666	-392.81607	-136.33047	84.84847	-0.45489794	-249.11191	200.0	200.0	295999	-17121.041	240919.17	0.55100846	-209.08842	-17108.139	240737.61	0.5809191	-210.16467	149.19101	2099.404	4.3410444	-8.651462	84.982994	18.242756	2765.4587273597717
75	-156.35521	115.76481	-0.83389914	-368.46753	-148.98593	72.4852	-1.1871899	-254.2813	200.0	200.0	299999	-16291.854	229251.6	1.6079248	-213.88393	-16295.888	229308.36	1.5529193	-212.85905	160.4886	2258.3713	4.4579253	-7.258419	80.7545	16.107426	2800.1013643741608
76	-171.63126	94.12224	-0.6428319	-372.20187	-175.62527	118.76792	-0.6508787	-421.5721	200.0	200.0	303999	-16984.465	238997.3	0.840689	-211.77075	-16984.168	238993.12	0.78045446	-211.99326	160.28197	2255.47	4.452939	-6.2140217	84.16783	15.726685	2841.5731999874115
77	-155.85027	92.54372	-1.00647	-341.52588	-101.36025	74.62266	-1.7975296	-250.87784	200.0	200.0	307999	-17515.182	246465.61	1.6654364	-219.70038	-17516.596	246485.48	1.2899162	-219.12306	172.44043	2426.5513	3.9935555	-8.21012	87.02794	37.740303	2875.9092123508453
